meshcode,option1,option2,option3,option4,option5,option6,value
53392542,14,14101,2019,12,0,2,7173
53392542,14,14101,2019,12,1,0,4496
53392542,14,14101,2019,12,1,1,7694
53392542,14,14101,2019,12,1,2,5910
53392542,14,14101,2019,12,2,0,5030
53392542,14,14101,2019,12,2,1,7815
53392542,14,14101,2019,12,2,2,6277
53392544,14,14101,2019,12,0,0,22052
53392544,14,14101,2019,12,0,1,28265
53392544,14,14101,2019,12,0,2,25842
53392544,14,14101,2019,12,1,0,15853
53392544,14,14101,2019,12,1,1,28053
53392544,14,14101,2019,12,1,2,22398
53392544,14,14101,2019,12,2,0,17653
53392544,14,14101,2019,12,2,1,28115
53392544,14,14101,2019,12,2,2,23398
53391468,14,14102,2019,12,0,0,8247
53391468,14,14102,2019,12,0,1,7825
53391468,14,14102,2019,12,0,2,7819
53391468,14,14102,2019,12,1,0,7307
53391468,14,14102,2019,12,1,1,7804
53391468,14,14102,2019,12,1,2,7337
53391468,14,14102,2019,12,2,0,7580
53391468,14,14102,2019,12,2,1,7811
53391468,14,14102,2019,12,2,2,7477
53391469,14,14102,2019,12,0,0,43799
53391469,14,14102,2019,12,0,1,22243
53391469,14,14102,2019,12,0,2,33722
53391469,14,14102,2019,12,1,0,50971
53391469,14,14102,2019,12,1,1,21785
53391469,14,14102,2019,12,1,2,38758
53391469,14,14102,2019,12,2,0,48889
53391469,14,14102,2019,12,2,1,21918
53391469,14,14102,2019,12,2,2,37296
53391476,14,14102,2019,12,0,0,6019
53391476,14,14102,2019,12,0,1,7854
53391476,14,14102,2019,12,0,2,6993
53391476,14,14102,2019,12,1,0,4346
53391476,14,14102,2019,12,1,1,7507
53391476,14,14102,2019,12,1,2,6076
53391476,14,14102,2019,12,2,0,4831
53391476,14,14102,2019,12,2,1,7608
53391476,14,14102,2019,12,2,2,6342
53391478,14,14102,2019,12,0,0,10819
53391478,14,14102,2019,12,0,1,13852
53391478,14,14102,2019,12,0,2,12479
53391478,14,14102,2019,12,1,0,8223
53391478,14,14102,2019,12,1,1,13583
53391478,14,14102,2019,12,1,2,10940
53391478,14,14102,2019,12,2,0,8977
53391478,14,14102,2019,12,2,1,13661
53391478,14,14102,2019,12,2,2,11387
53391479,14,14102,2019,12,0,0,11428
53391479,14,14102,2019,12,0,1,15021
53391479,14,14102,2019,12,0,2,13122
53391479,14,14102,2019,12,1,0,7287
53391479,14,14102,2019,12,1,1,14729
53391479,14,14102,2019,12,1,2,10918
53391479,14,14102,2019,12,2,0,8489
53391479,14,14102,2019,12,2,1,14814
53391479,14,14102,2019,12,2,2,11558
53391486,14,14102,2019,12,0,0,1314
53391486,14,14102,2019,12,0,1,1524
53391486,14,14102,2019,12,0,2,1390
53391486,14,14102,2019,12,1,0,1818
53391486,14,14102,2019,12,1,1,1629
53391486,14,14102,2019,12,1,2,1639
53391486,14,14102,2019,12,2,0,1672
53391486,14,14102,2019,12,2,1,1598
53391486,14,14102,2019,12,2,2,1566
53391487,14,14102,2019,12,0,0,3530
53391487,14,14102,2019,12,0,1,2876
53391487,14,14102,2019,12,0,2,3191
53391487,14,14102,2019,12,1,0,3220
53391487,14,14102,2019,12,1,1,2945
53391487,14,14102,2019,12,1,2,3207
53391487,14,14102,2019,12,2,0,3310
53391487,14,14102,2019,12,2,1,2925
53391487,14,14102,2019,12,2,2,3202
53391488,14,14102,2019,12,0,0,9868
53391488,14,14102,2019,12,0,1,12198
53391488,14,14102,2019,12,0,2,11150
53391488,14,14102,2019,12,1,0,7161
53391488,14,14102,2019,12,1,1,12034
53391488,14,14102,2019,12,1,2,9718
53391488,14,14102,2019,12,2,0,7947
53391488,14,14102,2019,12,2,1,12082
53391488,14,14102,2019,12,2,2,10134
53391489,14,14102,2019,12,0,0,11272
53391489,14,14102,2019,12,0,1,12886
53391489,14,14102,2019,12,0,2,11981
53391489,14,14102,2019,12,1,0,10354
53391489,14,14102,2019,12,1,1,12481
53391489,14,14102,2019,12,1,2,11063
53391489,14,14102,2019,12,2,0,10620
53391489,14,14102,2019,12,2,1,12598
53391489,14,14102,2019,12,2,2,11329
53391495,14,14102,2019,12,0,0,3638
53391495,14,14102,2019,12,0,1,4578
53391495,14,14102,2019,12,0,2,4090
53391495,14,14102,2019,12,1,0,2730
53391495,14,14102,2019,12,1,1,4268
53391495,14,14102,2019,12,1,2,3505
53391495,14,14102,2019,12,2,0,2994
53391495,14,14102,2019,12,2,1,4358
53391495,14,14102,2019,12,2,2,3675
53391496,14,14102,2019,12,0,0,1591
53391496,14,14102,2019,12,0,1,1549
53391496,14,14102,2019,12,0,2,1557
53391496,14,14102,2019,12,1,0,1245
53391496,14,14102,2019,12,1,1,1455
53391496,14,14102,2019,12,1,2,1400
53391496,14,14102,2019,12,2,0,1345
53391496,14,14102,2019,12,2,1,1482
53391496,14,14102,2019,12,2,2,1445
53391497,14,14102,2019,12,0,0,2480
53391497,14,14102,2019,12,0,1,2638
53391497,14,14102,2019,12,0,2,2553
53391497,14,14102,2019,12,1,0,1953
53391497,14,14102,2019,12,1,1,2470
53391497,14,14102,2019,12,1,2,2205
53391497,14,14102,2019,12,2,0,2106
53391497,14,14102,2019,12,2,1,2519
53391497,14,14102,2019,12,2,2,2306
53391498,14,14102,2019,12,0,0,6837
53391498,14,14102,2019,12,0,1,8211
53391498,14,14102,2019,12,0,2,7515
53391498,14,14102,2019,12,1,0,6709
53391498,14,14102,2019,12,1,1,8971
53391498,14,14102,2019,12,1,2,7675
53391498,14,14102,2019,12,2,0,6746
53391498,14,14102,2019,12,2,1,8750
53391498,14,14102,2019,12,2,2,7629
53391552,14,14102,2019,12,0,0,45
53391552,14,14102,2019,12,0,2,33
53391552,14,14102,2019,12,1,0,46
53391552,14,14102,2019,12,1,1,19
53391552,14,14102,2019,12,1,2,30
53391552,14,14102,2019,12,2,0,46
53391552,14,14102,2019,12,2,1,14
53391552,14,14102,2019,12,2,2,30
53391560,14,14102,2019,12,0,0,25350
53391560,14,14102,2019,12,0,1,22655
53391560,14,14102,2019,12,0,2,23763
53391560,14,14102,2019,12,1,0,34907
53391560,14,14102,2019,12,1,1,23891
53391560,14,14102,2019,12,1,2,28985
53391560,14,14102,2019,12,2,0,32132
53391560,14,14102,2019,12,2,1,23532
53391560,14,14102,2019,12,2,2,27469
53391561,14,14102,2019,12,0,0,3339
53391561,14,14102,2019,12,0,1,3204
53391561,14,14102,2019,12,0,2,3317
53391561,14,14102,2019,12,1,0,2329
53391561,14,14102,2019,12,1,1,3240
53391561,14,14102,2019,12,1,2,2747
53391561,14,14102,2019,12,2,0,2622
53391561,14,14102,2019,12,2,1,3230
53391561,14,14102,2019,12,2,2,2912
53391562,14,14102,2019,12,0,0,127
53391562,14,14102,2019,12,0,1,23
53391562,14,14102,2019,12,0,2,60
53391562,14,14102,2019,12,1,0,219
53391562,14,14102,2019,12,1,1,23
53391562,14,14102,2019,12,1,2,115
53391562,14,14102,2019,12,2,0,192
53391562,14,14102,2019,12,2,1,23
53391562,14,14102,2019,12,2,2,99
53391570,14,14102,2019,12,0,0,26631
53391570,14,14102,2019,12,0,1,22447
53391570,14,14102,2019,12,0,2,24794
53391570,14,14102,2019,12,1,0,24476
53391570,14,14102,2019,12,1,1,23936
53391570,14,14102,2019,12,1,2,26020
53391570,14,14102,2019,12,2,0,25102
53391570,14,14102,2019,12,2,1,23504
53391570,14,14102,2019,12,2,2,25664
53391571,14,14102,2019,12,0,0,7407
53391571,14,14102,2019,12,0,1,7125
53391571,14,14102,2019,12,0,2,7425
53391571,14,14102,2019,12,1,0,14820
53391571,14,14102,2019,12,1,1,7440
53391571,14,14102,2019,12,1,2,11235
53391571,14,14102,2019,12,2,0,12668
53391571,14,14102,2019,12,2,1,7349
53391571,14,14102,2019,12,2,2,10129
53391572,14,14102,2019,12,0,0,709
53391572,14,14102,2019,12,0,1,215
53391572,14,14102,2019,12,0,2,419
53391572,14,14102,2019,12,1,0,4611
53391572,14,14102,2019,12,1,1,477
53391572,14,14102,2019,12,1,2,2311
53391572,14,14102,2019,12,2,0,3478
53391572,14,14102,2019,12,2,1,401
53391572,14,14102,2019,12,2,2,1761
53391573,14,14102,2019,12,0,0,806
53391573,14,14102,2019,12,0,1,259
53391573,14,14102,2019,12,0,2,468
53391573,14,14102,2019,12,1,0,2543
53391573,14,14102,2019,12,1,1,439
53391573,14,14102,2019,12,1,2,1457
53391573,14,14102,2019,12,2,0,2039
53391573,14,14102,2019,12,2,1,387
53391573,14,14102,2019,12,2,2,1170
53391580,14,14102,2019,12,0,0,13044
53391580,14,14102,2019,12,0,1,14750
53391580,14,14102,2019,12,0,2,14097
53391580,14,14102,2019,12,1,0,8381
53391580,14,14102,2019,12,1,1,14416
53391580,14,14102,2019,12,1,2,11839
53391580,14,14102,2019,12,2,0,9735
53391580,14,14102,2019,12,2,1,14513
53391580,14,14102,2019,12,2,2,12495
53391581,14,14102,2019,12,0,0,13982
53391581,14,14102,2019,12,0,1,16105
53391581,14,14102,2019,12,0,2,15379
53391581,14,14102,2019,12,1,0,11313
53391581,14,14102,2019,12,1,1,16311
53391581,14,14102,2019,12,1,2,14431
53391581,14,14102,2019,12,2,0,12088
53391581,14,14102,2019,12,2,1,16251
53391581,14,14102,2019,12,2,2,14706
53391582,14,14102,2019,12,0,0,16253
53391582,14,14102,2019,12,0,1,18526
53391582,14,14102,2019,12,0,2,17631
53391582,14,14102,2019,12,1,0,22363
53391582,14,14102,2019,12,1,1,19924
53391582,14,14102,2019,12,1,2,21544
53391582,14,14102,2019,12,2,0,20589
53391582,14,14102,2019,12,2,1,19518
53391582,14,14102,2019,12,2,2,20408
53391591,14,14102,2019,12,0,0,13089
53391591,14,14102,2019,12,0,1,16160
53391591,14,14102,2019,12,0,2,14633
53391591,14,14102,2019,12,1,0,8963
